variable,question_text,description,type,values
wellbeing_active,I have felt active and vigorous ,WHO-5 item: feeling active and vigorous.,numeric,Scale 1 - 5 1= At no time ; 5 = All of the time
wellbeing_fresh_rested,I woke up feeling fresh and rested. ,WHO-5 item: waking up feeling fresh and rested.,numeric,Scale 1 - 5 1= At no time ; 5 = All of the time
wellbeing_interested,My daily life has been filled with things that interest me. ,WHO-5 item: daily life filled with things of interest.,numeric,Scale 1 - 5 1= At no time ; 5 = All of the time
open_identity_change,"In your own words, how (if at all) has AI changed your sense of who you are at work?  ",Open-text: how AI has changed the participant’s sense of identity at work.,text,"Open-text responses describing how AI has affected participants’ sense of identity at work. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response"
open_ai_improvement,What single change would make AI improve your identity and purpose at work?  ,Open-text: suggested change that would improve identity or purpose at work with AI.,text,"Open-text responses describing what changes to AI systems or workplace AI use would improve participants’ sense of identity or purpose at work. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response"
attention_check,"Please select ""Agree"" for this statement. (Fail = optional exclusion)",Attention-check item requiring “Agree” response.,categorical,Allowed values:pass; fail
industry,Which industry best fits your main work?  ,Participant’s primary work industry.,categorical,Allowed values: agriculture_forestry_fishing; mining_energy_utilities; manufacturing_production; construction_trades; transport_logistics_warehousing; retail_sales_consumer_services; hospitality_food_tourism; media_arts_entertainment; information_technology_software; finance_banking_insurance; real_estate_property_services; professional_scientific_technical_services; education_training; health_social_care; government_public_administration; defence_emergency_services; nonprofit_community_charity_work; legal_compliance; marketing_advertising_communications; other
role_seniority,What best describes your current role level or seniority?  ,Participant’s role level or seniority.,categorical,Allowed values: entry_level; intermediate_experienced; senior_specialist; manager_team_leader; director_executive; owner_founder; other 
org_size,How many people work at your organisation (including all locations)?  ,Total size of participant’s organisation.,categorical,Allowed values: just_me; 2_9; 10_49; 50_249; 250_999; 1000_4999; 5000_or_more; not_sure 
work_hours,How many hours do you usually work each week (paid work only)? ,Weekly paid working hours.,categorical,Allowed values: less_than_10; 10_19; 20_29; 30_39; 40_49; 50_or_more 
ai_task_percentage,Roughly what percentage of your tasks involve AI tools or outputs?  ,Percentage of work tasks involving AI tools or AI-generated outputs,categorical,Allowed values: 0_none; 1_10; 11_25; 26_50; 51_75; 76_100 
role_tenure,How long have you been in your current role?  ,Tenure in current role.,categorical,Allowed values: less_than_6_months; 6_11_months; 1_2_years; 3_5_years; 6_10_years; more_than_10_years 
age_group,What is your age group? ,Age category.,categorical,Allowed values: 18_24; 25_34; 35_44; 45_54; 55_65; over_65
country,Country of residence  ,Country participant lives in.,categorical,Allowed values (ISO-like codes): au; ca; ie; nz; uk; us
gender,Which of the following best describes your gender?,Participant gender identity.,categorical,Allowed values: man; woman; non_binary; prefer_not_to_say
industry_other,Free-text industry response (if “Other” was selected).,Free-text industry response when “other” industry is selected; stored exactly as typed.,text,Free-text (no predefined allowed values).
role_seniority_other,Free-text role seniority response (if “Other” was selected).,Free-text seniority response when “other” role level is selected; stored exactly as typed.,text,Free-text (no predefined allowed values).
