consent,work_status,ai_use_work,work_feels_central,ai_question_value,purpose_despite_ai,control_over_ai_use,fair_credit_with_ai,open_about_ai_concerns,ai_obsolete_worry,upskilling_for_ai,belonging_changed_ai,ai_increased_pace,ai_increased_availability,ai_stigma,ai_alignment_ethics,values_alignment,work_clarity,emotional_energy,trust_information_work,feels_true_today,wellbeing_cheerful,wellbeing_calm,wellbeing_active,wellbeing_fresh_rested,wellbeing_interested,open_identity_change,open_ai_improvement,attention_check,industry,role_seniority,org_size,work_hours,ai_task_percentage,role_tenure,age_group,country,gender,industry_other,role_seniority_other
yes,employed_full_time,yes_daily,6,6,7,7,6,4,6,7,7,7,6,2,5,8,9,9,9,ai_understands_better,5,4,5,5,5,AI has changed how I see myself at work by making some tasks easier and faster.,"If AI could understand people better and help with teamwork, it would make my work feel more meaningful and connected.",pass,finance_banking_insurance,senior_specialist,50_249,30_39,26_50,1_2_years,25_34,uk,man,,
yes,self_employed_freelance,yes_daily,3,2,4,7,4,6,4,2,4,4,5,1,7,2,8,5,9,depends_same,3,4,3,4,2,"I don't think it has, I enjoy collaborating with AI",Better offering the ability to improve skills alongside AI,pass,retail_sales_consumer_services,owner_founder,just_me,less_than_10,26_50,less_than_6_months,18_24,uk,man,,
yes,employed_full_time,yes_daily,7,4,7,7,5,6,6,4,3,5,4,4,5,7,8,9,8,depends_same,4,5,4,5,5,Its made be able to better articulate myself by running messages through it re-writing etc.. I feel my messages now are more professional and of a better tone then before.,"make it free, i.e i would use it longer at work without all the limits. I have teh free version",pass,professional_scientific_technical_services,manager_team_leader,250_999,40_49,26_50,3_5_years,35_44,uk,man,,
yes,employed_full_time,yes_occasionally,1,2,5,7,7,5,2,4,5,5,2,2,5,2,7,3,6,depends_same,1,2,1,1,3,"AI has not changed a sense of who I am at work, but it has been a great tool to help enhance my work.",Being able to answer things more naturally.,pass,professional_scientific_technical_services,intermediate_experienced,10_49,40_49,1_10,3_5_years,35_44,ca,man,,
yes,employed_part_time,yes_occasionally,6,2,6,6,4,6,5,5,4,3,2,3,6,7,9,8,8,people_understand_better,2,4,1,1,4,It hasn't but use is minimal at the moment.,I can't think of anything but quoting sources would help me to use the extra information it can give me.,pass,finance_banking_insurance,manager_team_leader,5000_or_more,20_29,1_10,more_than_10_years,55_65,uk,woman,,
yes,employed_full_time,yes_daily,6,6,5,6,7,5,3,5,6,5,6,2,5,8,7,8,9,ai_understands_better,4,4,4,4,4,"well, i see tasks as less difficult because i have ai to help out fully or half way.",getting tasks done faster than it already is,pass,health_social_care,manager_team_leader,50_249,30_39,1_10,1_2_years,25_34,uk,man,,
yes,employed_full_time,yes_occasionally,2,2,4,6,4,5,2,3,1,1,1,2,4,4,8,7,8,people_understand_better,4,4,4,3,4,AI hasn't change my sense of who I am at work at all.,The capacity for an AI to check and correct my mistakes in real time.,pass,media_arts_entertainment,senior_specialist,5000_or_more,30_39,1_10,more_than_10_years,35_44,uk,man,,
yes,employed_part_time,yes_weekly,3,1,7,7,7,5,3,3,1,1,1,1,4,10,10,6,8,depends_same,2,2,1,1,2,Ai has given me a sense of improvement in myself at work my work has got better and gets done quicker,not sure,pass,transport_logistics_warehousing,owner_founder,2_9,less_than_10,11_25,6_10_years,45_54,uk,woman,,
yes,employed_full_time,yes_daily,7,2,6,5,6,4,3,5,5,6,6,5,4,1,7,3,5,people_understand_better,3,2,3,1,3,It has given me more confidence as I can get feedback more easily on what I am producing. It also broadens my thinking.,"If it was able to integrate into Teams, so I could use it to help field the queries I receive.",pass,finance_banking_insurance,manager_team_leader,5000_or_more,30_39,1_10,3_5_years,35_44,uk,woman,,
yes,employed_full_time,yes_daily,7,2,6,7,7,7,2,7,6,6,6,6,6,9,9,4,9,people_understand_better,4,4,3,3,4,"AI has made me more productive and better at managing my time. It helps me organise tasks, find information faster, and focus on the parts of my work that really need my attention instead of getting stuck on repetitive or time-consuming details.","if AI could better understand my students' individual needs and learning styles, it would strengthen my sense of purpose as a teacher by helping me give more personaliz\sed and meaningful support to each student",pass,education_training,manager_team_leader,10_49,30_39,26_50,6_10_years,25_34,uk,woman,,
yes,employed_full_time,yes_weekly,7,1,7,7,6,6,2,7,2,6,1,1,7,9,9,9,9,people_understand_better,5,4,5,5,5,AI has not changed my sense of who I am at work,AI just being better in general would improve my identity and purpose at work,pass,information_technology_software,manager_team_leader,50_249,40_49,11_25,1_2_years,18_24,au,man,,
yes,employed_part_time,yes_weekly,4,5,3,4,6,7,5,4,4,6,5,4,3,7,8,8,8,people_understand_better,4,3,3,4,4,AI has become more predominant in my work as of recent. We use AI to improve accuracy and speed with site planning (construction). AI has helped us analyze terrain and look up local zoning laws with incredible speed and accuracy. We all worry that it will eventually replace us of course but it definitely has its positives. The benefits in my opinion outweigh the negatives but with proper regulation from the government I believe we can move forward in a positive way.,"Proper regulation from the government would help me trust AI and want to use it a lot more. If I can get some job security from my work and not have to worry about losing my job due to AI, I would feel a whole lot better. I would also feel safer if the data is not sold to millions of companies, essentially breaking any sort of privacy we have.",pass,construction_trades,manager_team_leader,2_9,30_39,26_50,6_10_years,25_34,us,man,,
yes,employed_full_time,yes_daily,6,5,6,5,5,5,6,6,5,6,6,3,5,6,7,6,7,people_understand_better,3,3,3,2,3,Ai can get work done fast but need to think more because all other competitor do that. I also need to verify everything is correct or not.,More accurate,pass,information_technology_software,manager_team_leader,50_249,40_49,11_25,3_5_years,25_34,ca,woman,,
yes,employed_part_time,yes_weekly,5,4,5,5,5,5,5,7,4,6,5,3,6,8,7,7,6,people_understand_better,4,4,4,4,3,I don't think it has changed me but it has made work easier and faster,Remaining ethical and presenting reliable information,pass,retail_sales_consumer_services,senior_specialist,10_49,20_29,11_25,1_2_years,25_34,uk,man,,
