consent,Prolific ID,work_status,ai_use_work,work_feels_central,ai_question_value,purpose_despite_ai,control_over_ai_use,fair_credit_with_ai,open_about_ai_concerns,ai_obsolete_worry,upskilling_for_ai,belonging_changed_ai,ai_increased_pace,ai_increased_availability,ai_stigma,ai_alignment_ethics,values_alignment,work_clarity,emotional_energy,trust_information_work,feels_true_today,wellbeing_cheerful,wellbeing_calm,wellbeing_active,wellbeing_fresh_rested,wellbeing_interested,open_identity_change,open_ai_improvement,attention_check�  , industry,role_seniority,org_size,work_hours,ai_task_percentage  ,role_tenure,age_group,  country ,gender
1,67b4f3200851cd527b9b909b,Employed full-time,3,6,2,6,6,5,7,3,5,6,3,3,2,5,7,8,8,7,People who know me understand me better than AI does,4,4,3,3,3,"AI has made me more aware of how important human judgment is in managing health records. While AI helps organize and flag data faster, I still need to review and interpret information to ensure accuracy and privacy. ","If AI could better understand the context behind patient data, it would make my work feel more meaningful. it could support better decision-making and reduce errors.",Agree,Health & Social Care,"Entry level (early career, trainee, or assistant)",50-249 people,40-49 hours,26-50%,6-11 months,18-24,Canada,Woman
1,5f1088e27a43fe0c64ca5814,Employed full-time,0,3,1,3,4,4,4,1,3,4,1,1,6,4,4,6,0,8,People who know me understand me better than AI does,2,3,1,0,2,Unfortunately my workplace has not adopted AI at the moment and seems unlikely to in the near future. I am using some tools myself but not in any official capacity.,It would help in mundane tasks but at the moment is not allowed. ,Agree,Health & Social Care,Manager / Team leader (supervises others),"5,000 or more people",40-49 hours,0% (none of my tasks),3-5 years,55-65,UK,Woman
1,67f864f1b7ea815cc3583637,Employed full-time,3,5,6,5,6,6,5,7,7,5,6,1,4,3,6,7,7,8,People who know me understand me better than AI does,4,4,5,4,4,"AI has allowed me to focus more on the unique problems that arise from specific conditions at work. Before AI, I would have to do standard problem solving while dealing with unique problems. Now, I can focus more of my energy on the unique issues because the standard work and inquiries have been trivialized by AI.",Tailor-made answers for my specific role instead of general answers.,Agree,"Retail, Sales & Consumer Services","Senior specialist (highly experienced, no direct reports)","1,000-4,999 people",40-49 hours,26-50%,3-5 years,25-34,Canada,Man
1,5f3df58fefb822237b5ec92c,Employed full-time,3,5,6,6,6,5,6,6,5,4,7,2,1,6,7,7,2,7,It depends / about the same,3,4,4,3,3,I see AI as a tool that helps me accomplish tasks quicker and AI has helped me prioritize more important tasks to be more productive at work.,"I think providing a brief background about myself in the context so that in the responses that  the prompts generate it personalizes the response to my background e.g., my learning style, how I prefer to see a response.",Agree,Information Technology & Software,"Entry level (early career, trainee, or assistant)",2-9 people,40-49 hours,26-50%,1-2 years,18-24,Canada,Man
1,5e29cc3230cf9d03580c34bf,Employed full-time,2,7,2,7,7,7,7,2,6,4,5,1,2,6,9,8,6,9,People who know me understand me better than AI does,4,3,3,3,4,"It hasn't changed my sense of who I am, just streamlined and made more efficient some aspects of my workflow.","I just want to ensure that I am still primarily responsible for my own creative process. I also want to make sure that while becoming more proficient in applying AI tools to my own work, my primary tasks are not replaced outright by AI. As it stands, it is unclear where AI is going in this regard.",Agree,"Media, Arts & Entertainment","Senior specialist (highly experienced, no direct reports)",50-249 people,40-49 hours,11-25%,3-5 years,35-44,US,Man
1,58954e2dc88c680001dd4b7e,Employed part-time,2,6,3,6,6,6,6,1,5,2,4,3,1,5,8,8,7,9,People who know me understand me better than AI does,4,4,4,3,4,"No not really .. And if someone is changed by ai, they should bin it off .. Lower usage, depending on ai to do your job is outrageous .. You're making yourself obsolete , use your own brain , its an Ai(d) not a necessity ",none ,Agree,Manufacturing & Production,Manager / Team leader (supervises others),10-49 people,30-39 hours,1-10%,More than 10 years,55-65,UK,Man
1,5ad4a1146e74be00014e59d7,Employed full-time,1,1,1,5,5,4,6,1,1,1,2,1,1,4,2,7,1,6,People who know me understand me better than AI does,3,2,1,1,2,"It has not changed my sense of self relating to work, as it is more occasionally used and not fully integrated into my company",Making certain daily and repetitive tasks more efficient without taking away from my attention to detail or accuracy,Agree,"Retail, Sales & Consumer Services",Manager / Team leader (supervises others),50-249 people,40-49 hours,1-10%,3-5 years,35-44,Canada,Woman
1,5f516a44067fba1b4c562a55,Employed full-time,2,7,3,6,7,7,6,1,5,4,5,5,1,6,9,9,8,9,People who know me understand me better than AI does,4,5,5,4,5,It helps me do my work better and more quick and lets me check better and quicker ,Make ai systems more intergrated with the work systems ,Agree,"Hospitality, Food & Tourism",Manager / Team leader (supervises others),"1,000-4,999 people",40-49 hours,11-25%,6-10 years,35-44,Canada,Man
1,66a7ab3a0428bc7ecb480428,Employed full-time,3,6,2,6,6,5,5,2,6,2,6,6,2,6,9,9,9,9,People who know me understand me better than AI does,4,4,4,4,4,"AI has helped me work faster and focus more on solving problems instead of doing routine tasks. It's also made me realize how important it is to think carefully and use technology wisely.
","If AI could better understand context and my specific work goals, it would help me use it more effectively and make my work feel more meaningful.
",Agree,"Professional, Scientific & Technical Services","Senior specialist (highly experienced, no direct reports)",50-249 people,30-39 hours,1-10%,3-5 years,25-34,Canada,Man
1,65b85222a3269ee45054aed5,Employed part-time,2,7,1,7,7,7,7,1,4,1,5,4,1,7,8,10,10,8,People who know me understand me better than AI does,4,4,3,4,4,More efficient and knowledgable about products.,Make me be able to relate better with customers.,Agree,"Retail, Sales & Consumer Services",Manager / Team leader (supervises others),50-249 people,20-29 hours,11-25%,3-5 years,55-65,Canada,Woman
1,601e4c88252f60290cc57d4c,Employed full-time,3,2,5,3,6,6,7,5,7,4,3,3,1,5,2,6,3,7,People who know me understand me better than AI does,2,4,3,1,4,"It has made me feel more replaceable and job security has gone down. AI currently not good enough, and I perform functions AI cannot do yet, but I do fear this will change in the future.","Reduce the tedious tasks that have to be done such as admin, and ideally help mitigate communications with more troublesome people in my org",Agree,Information Technology & Software,"Entry level (early career, trainee, or assistant)",50-249 people,40-49 hours,26-50%,1-2 years,25-34,New Zealand,Man
1,55848744fdf99b574f55ada0,Employed full-time,1,5,1,5,6,4,4,5,2,1,1,1,5,2,2,9,5,8,People who know me understand me better than AI does,2,2,1,0,2,It hasn't made any difference to my sense of who I am at work.,If I became an expert in AI.,Agree,"Media, Arts & Entertainment",Manager / Team leader (supervises others),50-249 people,40-49 hours,1-10%,6-10 years,45-54,UK,Woman
1,614e65edaccea7bee04b8ad8,Employed full-time,3,3,7,3,3,4,6,7,6,2,7,6,2,4,4,2,5,6,It depends / about the same,3,3,3,3,3,"Yes, I feel less sure about the future and worry I will lose my job to AI in the next twelve months.",None.,Agree,"Finance, Banking & Insurance",Manager / Team leader (supervises others),50-249 people,40-49 hours,11-25%,More than 10 years,55-65,Australia,Man
1,60cee4ec871f36088fe20ff3,Employed full-time,1,6,3,6,6,5,4,5,6,2,4,1,6,5,9,6,0,6,AI systems understand me better than people I work with,0,1,0,0,0,"Since I only use the computer occasionally for my work, AI just plays a supporting role when I need to do written tasks.","AI has provided me with a lof of help, allowing me as a non-native speaker to better integrate into my work environment.",Agree,"Non-profit, Community & Charity Work","Entry level (early career, trainee, or assistant)",50-249 people,40-49 hours,11-25%,3-5 years,25-34,Canada,Woman
1,5e112451bbaeff7e87b65442,Employed full-time,2,6,2,6,7,5,4,3,6,2,3,1,1,5,7,8,8,8,People who know me understand me better than AI does,4,5,4,4,4,It made me more productive and took away boring work. Made me able to use my advanced skills more.,Automate even more boring repetative tasks!,Agree,Information Technology & Software,"Senior specialist (highly experienced, no direct reports)","5,000 or more people",40-49 hours,26-50%,6-10 years,25-34,Canada,Man
1,65b8310adedb5d86c0c32079,Employed full-time,2,5,4,5,4,3,3,6,2,4,5,5,6,4,5,3,1,4,People who know me understand me better than AI does,2,2,1,0,1,"it has created a new element to include in my work. with no adequate training, there is a high expectation to learn in person time and succeed",not sure,Agree,Legal & Compliance,"Senior specialist (highly experienced, no direct reports)",250-999 people,40-49 hours,11-25%,3-5 years,35-44,Australia,Woman
1,67acbb030811018b016dcaf7,Employed full-time,2,3,2,6,6,5,5,3,5,2,2,2,2,2,7,7,7,7,AI systems understand me better than people I work with,4,4,4,5,4,It has made me realize how easily certain aspects of my job can be automated,More personalized,Agree,Pharmaceutical,"Senior specialist (highly experienced, no direct reports)",250-999 people,30-39 hours,11-25%,1-2 years,18-24,Canada,Man
1,64c9892e8e7e06812b775c0c,Employed full-time,0,4,3,4,2,3,4,5,3,4,4,4,6,4,5,7,5,6,People who know me understand me better than AI does,4,4,3,3,4,"AI makes me realize I am valuable since I am NOT a machine and my life experience and ability to offer my own thoughts based on that they are more valuable in ""real life"".","AI needs to disappear, robots can do the work humans don't want to and honestly corporations suck for replacing humans who actually buy the garbage they are pedaling.",Agree,"Finance, Banking & Insurance",Intermediate / Experienced (non-management professional),250-999 people,30-39 hours,1-10%,More than 10 years,45-54,Canada,Woman
1,5ca51f05a15cb1001609491f,Self-employed / freelance,1,7,1,7,7,7,7,1,4,4,2,2,6,4,9,8,7,6,People who know me understand me better than AI does,3,2,2,2,1,"I don't think it has changed me. AI helps me put my OWN thoughts in better order, organize them and put them in more cohesive manner but it's still me doing the work. Just with a little help",Ai is still in its infancy and I still don't one hundred percent rely on it because it has a lot of inaccuracies but only time will tell,Agree,Home services,Owner / Founder (runs or owns the business),2-9 people,10-19 hours,1-10%,More than 10 years,35-44,US,Woman
1,656bb5b282d8f0267db9d167,Employed full-time,3,3,4,6,4,5,5,7,6,2,5,6,5,6,7,7,8,7,People who know me understand me better than AI does,2,4,3,1,1,it's made me more focused on how to solve a solution rather than someone that knows everything already.,To have a personalised AI and to be commended regardingless of using AI or not  to assist,Agree,Information Technology & Software,Intermediate / Experienced (non-management professional),"1,000-4,999 people",40-49 hours,1-10%,3-5 years,25-34,New Zealand,Man
1,665010abb093b763c3e709f8,Employed part-time,3,6,5,7,6,7,7,7,7,6,7,7,1,6,8,7,7,8,People who know me understand me better than AI does,4,4,4,4,3,"Its made me more productive and less productive at the same time. Because of AI, putting thoughts into reality doesn't take time, so most of the time when I make things with AI easily and see it doesn't work as intended, I feel frustrated about my thinking ability.","At this point, Job security ",Agree,Information Technology & Software,Manager / Team leader (supervises others),250-999 people,20-29 hours,51-75%,1-2 years,25-34,Canada,Man
1,5b7ecfe47a63030001019c35,Employed full-time,2,6,3,6,6,6,6,2,5,2,5,5,4,2,8,8,7,7,People who know me understand me better than AI does,4,4,4,4,4,it has helped me go beyond my potential and open new doors that were previously difficult to open,"Difficult to say, id like to build it in more but not lose my identity",Agree,"Transport, Logistics & Warehousing",Manager / Team leader (supervises others),"1,000-4,999 people",40-49 hours,11-25%,6-10 years,35-44,UK,Man
1,663595186fd0c6f76c84f144,Employed part-time,3,6,1,6,6,6,6,1,1,1,1,1,1,6,8,8,8,8,People who know me understand me better than AI does,4,4,4,4,4,Not at all,None that I know of,Agree,Health & Social Care,Manager / Team leader (supervises others),250-999 people,20-29 hours,1-10%,3-5 years,45-54,Australia,Woman
1,5efa33c4e9f4160ffd817db9,Employed full-time,3,5,3,5,5,4,6,5,4,3,3,3,3,5,7,7,7,8,AI systems understand me better than people I work with,2,3,3,2,3,I feel guilt for  relying on it too much,not sure,Agree,"Retail, Sales & Consumer Services","Entry level (early career, trainee, or assistant)",2-9 people,30-39 hours,1-10%,1-2 years,35-44,UK,Woman
1,682cd328bd53185cbbb59840,Employed full-time,3,7,2,6,7,7,6,7,6,6,7,7,1,7,10,10,9,9,People who know me understand me better than AI does,4,5,4,4,3,AI has enhanced my confidence in my work by almost always providing solutions which I have already thought of. ,It should be personalized to be unique and suitable for each person.,Agree,Manufacturing & Production,Manager / Team leader (supervises others),"5,000 or more people",40-49 hours,26-50%,3-5 years,25-34,US,Woman
1,647d380660e059e1612303e8,Employed full-time,1,5,7,4,3,3,2,5,6,7,5,2,4,2,6,7,3,5,People who know me understand me better than AI does,1,1,0,1,1,It has fastened my pace and made me work faster.,Quality of answer as its often wrong,Agree,Information Technology & Software,Manager / Team leader (supervises others),"1,000-4,999 people",40-49 hours,11-25%,6-10 years,35-44,US,Man
1,60fd321af4b21b8975345a9b,Employed full-time,2,4,5,6,6,6,7,7,5,2,4,2,1,5,4,7,6,9,People who know me understand me better than AI does,2,2,1,1,3,It's made me question the long-term prospects of my role and whether my particular role will be overtaken by AI,Reassurance,Agree,"Transport, Logistics & Warehousing",Manager / Team leader (supervises others),10-49 people,40-49 hours,11-25%,1-2 years,25-34,Australia,Woman
1,616c27e289fbac20c73f34b6,Employed full-time,1,4,2,5,6,5,4,3,5,2,2,2,4,4,6,6,1,5,People who know me understand me better than AI does,2,3,2,1,3,It has not really changed how I see myself in regards to my work.,If it could help me learn to have more empathy sometimes.,Agree,"Non-profit, Community & Charity Work",Manager / Team leader (supervises others),50-249 people,40-49 hours,1-10%,More than 10 years,35-44,US,Woman
1,659c0682d109f8537a89fdd3,Employed full-time,2,3,5,4,5,4,5,6,6,4,3,3,2,2,2,4,1,8,It depends / about the same,1,3,1,1,1,It has made me challenge my abilities and capabilities. It has also led me to worry if I can be replaced.,If it can help incorporate and assist with my repetitive and simple work.,Agree,"Finance, Banking & Insurance","Entry level (early career, trainee, or assistant)","1,000-4,999 people",40-49 hours,1-10%,6-11 months,18-24,Canada,Man
1,66c0df311f98d7c9661669d9,Self-employed / freelance,0,5,7,4,2,4,4,6,4,2,5,6,7,4,6,6,4,7,People who know me understand me better than AI does,1,1,1,0,4,"I worry that human educators will be less valued because students want quick answers and want AI to do work for them, rather than think and write for themselves. ",Getting rid of AI altogether or only using it for minor things like word editing. ,Agree,Education & Training,Intermediate / Experienced (non-management professional),250-999 people,30-39 hours,0% (none of my tasks),1-2 years,25-34,US,Woman
1,631623dc8a64a7f2d743deac,Employed full-time,3,6,1,6,6,5,6,4,5,5,5,4,6,5,9,9,9,9,People who know me understand me better than AI does,3,3,4,3,4,I felt more confident in wrtiting tasks more accurately than before.,It made me work faster and more efficient.,Agree,Health & Social Care,Intermediate / Experienced (non-management professional),250-999 people,30-39 hours,11-25%,More than 10 years,55-65,UK,Man
1,66c3d452d7fc0d946557395e,Employed full-time,1,2,2,2,4,2,5,2,2,2,1,1,1,3,5,6,3,3,People who know me understand me better than AI does,3,4,2,2,3,it hasn't,not sure,Agree,Education & Training,Intermediate / Experienced (non-management professional),10-49 people,30-39 hours,1-10%,1-2 years,25-34,Australia,Man
1,676304145bbe20d1fd5d653c,Employed full-time,1,7,2,5,7,2,6,1,6,4,2,1,1,6,2,9,6,5,It depends / about the same,4,4,3,4,4,It has just gave me a means of working more efficiently which means more time and less stress while handling other time sensitive matters. Confidence grown.,Make it easier for all types of people to use; older people still struggle with it.,Agree,"Transport, Logistics & Warehousing",Director / Executive (leads departments or major functions),"5,000 or more people",50 hours or more,1-10%,3-5 years,35-44,US,Man
1,6151e69a392433707e7a9dfb,Employed part-time,3,7,3,7,6,5,6,1,7,4,6,6,3,7,8,7,6,7,People who know me understand me better than AI does,4,4,3,2,4,"AI has made me more reflective about what uniquely human value I bring to my work. It's pushed me to focus less on repetitive tasks and more on creativity, intuition, and judgment qualities that AI can't replicate. I now see myself less as just a “worker” and more as a curator of meaning who collaborates with intelligent tools rather than competes with them.","I think clearer recognition of human creativity and decision-making alongside AI contributions would strengthen purpose. When people are credited not just for output but for the direction, taste, or care they bring to AI-assisted work, it reinforces that technology is there to amplify human purpose, not replace it.",Agree,Information Technology & Software,Intermediate / Experienced (non-management professional),50-249 people,30-39 hours,51-75%,3-5 years,25-34,UK,Man
1,6566513f9e98445866f964f1,Employed full-time,3,6,7,6,6,7,6,5,6,3,7,7,6,3,8,8,9,7,People who know me understand me better than AI does,4,3,4,4,4,"I am the same, but AI help me to be  more efficient and creative",better understand my personality and long-term goals,Agree,"Professional, Scientific & Technical Services",Manager / Team leader (supervises others),250-999 people,30-39 hours,26-50%,More than 10 years,55-65,Canada,Man
1,67be9cc9db559147a6f5a9d7,Employed full-time,1,2,4,4,6,5,7,6,4,5,6,1,2,5,3,3,4,7,People who know me understand me better than AI does,4,3,3,3,4,"AI has made me realize how much my work can be automated, which shows how redundant I am in the company.  There are several duties which are not able to be done by AI, but maybe half of my job can be done by AI and that is a sobering thought.","I think being able to use AI to supplement my work identity, rather than replace it.  I am not sure how this would happen, but I think using AI to help support my work and the conclusions that I give to questions would be beneficial rather than AI finding these conclusions that are better than the ones that I give as part of my work.",Agree,Education & Training,"Senior specialist (highly experienced, no direct reports)",50-249 people,30-39 hours,11-25%,1-2 years,25-34,Canada,Man
1,648868c355e5b891758c5767,Employed part-time,1,3,5,4,5,3,4,5,3,2,3,4,5,4,5,7,3,6,People who know me understand me better than AI does,2,1,1,1,2,AI changed my sense of self of who I am at work because I feel more inclined to search or find recommendations using AI rather than my own judgement. I feel sometimes useless are less competent when I feel like I must ask AI to answer a question.,A change that would make AI improve my identity and purpose at work is by providing helpful guidance and assistance for me to find the answer myself.,Agree,"Retail, Sales & Consumer Services",Intermediate / Experienced (non-management professional),"5,000 or more people",20-29 hours,1-10%,1-2 years,25-34,Canada,Woman
1,5f79bca83a2eb65c0983816d,Employed full-time,0,4,1,4,4,4,7,1,4,1,1,1,1,4,7,10,9,9,People who know me understand me better than AI does,5,5,5,5,5,I don't use Ai at work ,None,Agree,Manufacturing & Production,Intermediate / Experienced (non-management professional),50-249 people,40-49 hours,0% (none of my tasks),3-5 years,35-44,US,Man
1,5b681788ca518a0001c7a755,Employed full-time,2,5,2,5,6,6,4,2,2,2,2,2,5,5,8,8,6,9,People who know me understand me better than AI does,4,4,4,3,3,"I use AI as another tool, so in that sense it hasn't changed me at all. It's just another tool like a word processor or graphics design program. I don't feel that my word processor has changed my sense of who I am, and in the same way I don't think ChatGPT has changed who I am.","Nothing. I don't need to have my identity of purpose formed from an AI. I think this is part of the issue we have with AI at the moment, and it's possibly because of the nomenclature. AI isn't artificial intelligence at all, it's a large language model. It's not sentient, it doesn't care about us, it doesn't understand what it's being asked to do. It's not even an 'it', really. It's just a very complicated set of decisions that outputs text.",Agree,Education & Training,Manager / Team leader (supervises others),10-49 people,40-49 hours,11-25%,6-10 years,45-54,UK,Man
1,676adcf25482305f750ac5bd,Employed full-time,2,5,1,7,5,6,6,2,6,2,5,4,3,5,7,7,5,8,People who know me understand me better than AI does,3,2,4,3,3,"AI has had (to this point) an added sense of confidence in my work. When my research is aligned to AI, it provides additional reassurance.",Improved accuracy and consistency.,Agree,"Finance, Banking & Insurance",Intermediate / Experienced (non-management professional),"5,000 or more people",40-49 hours,1-10%,More than 10 years,55-65,Canada,Man
1,6538e45f20a5ac1ab1c9c8c2,Employed full-time,3,7,2,7,7,6,7,2,7,1,2,1,3,5,7,8,7,6,People who know me understand me better than AI does,3,3,2,3,4,"It hasn't changed my sense of who I am at all, but it has given me more time to spend on the things I enjoy.",If AI was universally accepted by everyone in my workplace.,Agree,Education & Training,Manager / Team leader (supervises others),50-249 people,30-39 hours,1-10%,3-5 years,35-44,Australia,Man
1,66063e30b927403afa9cc13f,Employed full-time,3,5,5,6,5,4,6,2,4,1,3,4,4,5,7,8,6,6,People who know me understand me better than AI does,4,4,5,4,4,"It has changed the way I think and the way I do tasks at work, I find my productivity levels are higher",Getting better output from our AI sources to complete tasks more accurately ,Agree,"Finance, Banking & Insurance",Manager / Team leader (supervises others),"5,000 or more people",30-39 hours,51-75%,6-10 years,45-54,Canada,Woman
1,6658dd700eb742f84c1ecd57,Employed full-time,3,6,6,7,7,4,6,2,2,1,6,6,2,4,7,10,9,9,It depends / about the same,4,1,4,4,1,"stream lines emails, processes and documents for me. Much faster so i can get on with other important details.",can automatically do things and predict patterns instead of me asking for it to be done ,Agree,Health & Social Care,Manager / Team leader (supervises others),50-249 people,40-49 hours,11-25%,3-5 years,35-44,Australia,Woman
1,6759419d123a134138c53b19,Employed full-time,1,5,3,5,5,6,6,3,5,4,3,3,2,5,7,8,7,8,People who know me understand me better than AI does,4,4,3,4,4,A tool is just a tool and I am still me.,My identity and purpose do not need adjustment.,Agree,Health & Social Care,Intermediate / Experienced (non-management professional),50-249 people,30-39 hours,1-10%,1-2 years,55-65,UK,Man
1,661ad4be7fd52981fbab7a50,Employed full-time,3,7,7,6,1,2,2,6,2,2,7,4,1,5,2,4,8,7,It depends / about the same,4,4,5,5,5,AI has made me feel inefficient at work and I've felt that my skill sets are inferior.  I feel okay though as AI is moving at a fast pace that I'm just taking my time to keep myself informed as there is no way I can keep up with the fast pace of it all.,If it's intention was more clearer.  Is the intention to replace humans or to work alongside humans.,Agree,Legal & Compliance,Intermediate / Experienced (non-management professional),10-49 people,40-49 hours,1-10%,3-5 years,45-54,New Zealand,Woman
1,655b66a54fed8fea8a342e40,Employed full-time,2,5,2,6,4,5,6,2,4,1,3,4,3,4,7,8,7,9,People who know me understand me better than AI does,4,3,3,2,4,It did not change. It has no influence to who I am at work.,"I don't want AI to change that. I want to use it purely as a tool, like many others that I use at work.",Agree,Information Technology & Software,Manager / Team leader (supervises others),250-999 people,30-39 hours,1-10%,3-5 years,35-44,Australia,Man
1,559bbbdafdf99b7ce19d5b3d,Employed full-time,3,5,4,6,3,5,6,5,3,2,5,3,4,6,9,9,7,6,People who know me understand me better than AI does,2,2,3,2,2,"It's given me the ability to work faster, get information easier, be more creative. It's like a skilled assistant and it's only benefited me by making me more capable, creative, and knowledgeable.","Being able to rely on it more, as I still need to spend a lot of time checking facts and mistakes that AI almost always makes.",Agree,"Retail, Sales & Consumer Services",Manager / Team leader (supervises others),50-249 people,40-49 hours,11-25%,3-5 years,35-44,UK,Man
1,6647e8618c77f7b938865d25,Employed full-time,3,6,6,7,7,6,4,6,7,7,7,6,2,5,8,9,9,9,AI systems understand me better than people I work with,5,4,5,5,5,AI has changed how I see myself at work by making some tasks easier and faster. ,"If AI could understand people better and help with teamwork, it would make my work feel more meaningful and connected.",Agree,"Finance, Banking & Insurance","Senior specialist (highly experienced, no direct reports)",50-249 people,30-39 hours,26-50%,1-2 years,25-34,UK,Man
1,5ef08aa7177a735c78ffbf40,Self-employed / freelance,3,3,2,4,7,4,6,4,2,4,4,5,1,7,2,8,5,9,It depends / about the same,3,4,3,4,2,"I don't think it has, I enjoy collaborating with AI","
Better offering the ability to improve skills alongside AI",Agree,"Retail, Sales & Consumer Services",Owner / Founder (runs or owns the business),Just me (self-employed / freelance),Fewer than 10 hours,26-50%,Less than 6 months,18-24,UK,Man
